,Unnamed: 0,rating,userName,review,title,isEdited,date,Positive,Negative,Neutral,Compound,Sentiment
159,159,2,Jul...!!,using app since began honest reliability getting worse carry 95 business banking app day spend time trying get work actually carrying task need log continually say something wrong please try later flick business personal stay personal view statement cant get back menu come app go back go login problem paying hmrc cant change reference number go computer monthly transaction logging picture go round nothing happens loading picture keep going round come app go straight back without face id id app good moment also bos app pay cheque clear next day barclays app hope get app 21st century standard soo,Getting worse,False,2019-10-09 08:09:46,0.138,0.1,0.762,0.6573,Positive
160,160,5,dislexic boy,old system suited u far better even though laboriously slow take 3 4 time long pay supplier staff group almost rebuilt every time use wish pay different selection supplier want split payment group 2 day different way time take account cash flow shame tec guy didnt understand flexible system tailored individual business requirement would much useful,Group payment system awful,False,2018-03-02 14:27:00,0.16,0.123,0.717,0.4997,Positive
161,161,4,dtyger,way see full notification message app clicking message didnt fit iphone notification window guess content changing spending limit card contrintuitive enabling first time save button doesnt work need click different amount number save even still summary show original 1000 changing leaf previous value go back summary update,UI is below market standards,False,2021-11-22 12:28:31,0.223,0.038,0.739,0.8515,Positive
162,162,3,ntc90,app okay everything work well making payment paying cheque easy whenever come app even split second log start especially annoying need check bank detail making payment detail another app phone also main issue much going main tab app need simple check balance make payment thing hidden away tab way accessible needed,Too much going on,False,2021-11-06 10:38:33,0.121,0.053,0.826,0.4417,Positive
163,163,3,booga100,ive used app intuitive everything worked recent update particular account reordering feature fails say tapping reorder account allows move account desired order tap done take previous screen fails save account order set frustrating anyone many account requires scroll use account often others hence need put top list none barclays technical team know fix,Good app but has bugs,False,2021-03-15 11:37:27,0.113,0.136,0.751,-0.34,Negative
164,164,4,Chalkie in Edinburgh,app real bonus form local branch closed nearest cleveleys parking nightmare downside user interface seems complicated compared hsbc app paying cheque nightmare first attempt draw box round cheque thats nowhere near actual cheque keep retaking till happy say look like youve already paid cheque ive managed twice every time ive drive cleveleys short great app dont accept cheque,Great app but needs finishing.,False,2021-02-06 11:39:48,0.197,0.06,0.743,0.8914,Positive
165,165,5,Cuthbep,used app frequently time worked perfectly short ago could log able since reinstalled app cannot register word request cannot processed time please try later constantly appears gone wrong help barclays app running perfectly although took time still dont know went wrong happens probably able sort,What has happened?,True,2018-01-07 14:00:30,0.191,0.14,0.669,0.6044,Positive
166,166,5,Theyrerippingyouoff!,app slow clunky often doesnt respond quick enough loading rubbish stuff youd need within year ever tonne info every single product barclays offer one care want check balance annoying issue thats infuriating dont consistent constant wifi app seems need updating least weekly doubt add even unnecessary option feature never used anyone,Way too much pointless stuff,False,2018-06-25 20:25:24,0.076,0.146,0.778,-0.6249,Negative
167,167,3,Beans0047,ive using app probably year part love easy convenient mobile banking app get glitchy horrific currently trying pay cheque helpful pop give tip correctly take photo cheque useful except pop there way remove click swipe away use service actually pay cheque use iphone 8 sort barclays please dont want constantly make journey bank middle pandemic help,Cheque to cheque,False,2020-10-09 11:18:31,0.25,0.118,0.632,0.8854,Positive
168,168,1,Bachman2,suspicious type download logo changed mindful fraud barclays always pushing wasted half hour looking line trying contact barclays check change genuine thought looking review seems lot unhappy customer camp want consistency steady performance bank organisation chase pc trend force view employee customer update change back traditional blue mean eventually leave shame think overall great app barclays shot foot still lot traditional customer still want u,Logo- thought it was potential fraud,False,2019-06-27 10:04:26,0.086,0.212,0.702,-0.872,Negative
169,169,1,Dave_Hedgehog,update note claim account list improved make balance detail easier see utterly false claim much harder see balance moving balance left mean get lost amongst rest account detail making much harder see easier also list number much easier read right justified ten hundred thousand etc line longer case awful update also far empty white space already much account list longer fully fit screen scroll see balance yet another reason significantly harder see balance redesign,Layout made much worse,False,2019-01-30 17:41:34,0.205,0.079,0.716,0.8805,Positive
170,170,5,Wrinkly55,transaction information listed lefthand side make difficult pick information youre looking much easier view moneyin moneyout righthand side change please go back previous display give u choice wish view transaction also font faint seen clearly would better sharper darker font,Transactions display,False,2021-11-20 15:13:50,0.274,0.051,0.675,0.872,Positive
171,171,3,argentinizad0,much use using app check spending available credit app fails update correctly app used barclays account show available credit including pending transaction might barclaycard however pending transaction made 48 hour previous barclaycard shown pending transaction history taken account showing available credit despite app saying available credit including pending transaction end result spending beyond credit limit useful tool managing finance need work,Slow to update,False,2018-04-26 21:48:13,0.219,0.039,0.743,0.9022,Positive
172,172,5,Jackson/Sunny Girl,absolutely love app especially covid19 dont go bank dont wear mask transfer money friend see im daytoday basis app get better new idea love fact see account account money transfer account call help service 95 especially calling uk im happy ring uk ill give app 9 10,Great App,False,2020-08-08 09:41:32,0.34,0.044,0.616,0.9622,Positive
173,173,1,trysantander,app flawed caused issue account payment bank seems think workaround accept technical issueseven advising go branch see help branch closing around helpful suggestion promised telephone call within 10 day technical department 6 month ago im still waiting need sorting difficulty paying barclaycard payee app either remove payee give incorrect name barclaycard studentso either case workaround issue either reinstate payee remove renamed one add payee againhappens time time scheduled payment ongoing issue year,Constant Sorrow,True,2021-06-06 15:07:30,0.134,0.03,0.835,0.802,Positive
174,174,5,Njs32,great app general banking paying supplier checking statement severely let poor cheque pay feature cant even find edge white cheque black background even complains endlessly photo isnt clear enough im using brand new iphone 11 pro camera working perfectly given current circumstance feature working properly limit removed would prevent need visit branch,Great for general banking but can’t pay in Cheques!,False,2020-04-19 09:00:21,0.143,0.187,0.67,-0.2225,Negative
175,175,4,Hexfiend,excited update saw 1611 app would run iphone x assume x doesnt touch id using iphone 7 major issue running new version use telephone banking unregister account start work iphone x optimised full screen face id option touch id login passcode major issue disappointed lack x support maybe next update im looking four star well featured app would 5 full iphone x support,Still no iPhone X support!,False,2017-11-16 20:41:11,0.188,0.081,0.731,0.7351,Positive
176,176,3,tweeb300,latest update seems introduced problem available balance show updated amount make intraday transfer bank immediately show transaction fed confusing customer available balance update swipe account go account page swipe would better worked account page swap account get loading icon age load transaction allow faceid like barclaycard app,Latest Update - Issues,False,2019-10-31 11:06:28,0.135,0.085,0.779,0.4019,Positive
177,177,3,MartinG333,im told improvement ever thing available ill ever need want use still cant absolute basic like able check amend future dated payment also cant find way actually log app nothing thats obvious matter ive looked really dont feel comfortable using banking app cant actually shut log appears case change give think want rather asking actually want im afraid im impressed nothing new,Still poor despite supposed updates,False,2017-12-29 11:19:35,0.139,0.124,0.737,0.013,Neutral
178,178,4,SuzMose,im giving app 2 barclays issue app last week since ive poor access ive uninstalled reinstalled different device barclays blamed technology despite phone 2 month old still problem remain fixed problem received response developer yes still problem ive completely deleted app ipad using app phone least access 80 percent time,Great when it works !,True,2021-04-19 12:54:41,0.084,0.237,0.679,-0.8481,Negative
179,179,1,Chluke81,firstly expecting able send payment without opening app like paypal every time ive tried far ive told siri need sorry youll need continue app seems defeat purpose somewhat ok going prefill payee information might make slightly quicker fair enough howeverafter clicking open app using touch id authenticate receive pe002 error vpx16 recipient isnt recognised told live chat person problem must merchant end wasnt trying pay merchant rather personal account havent looked see people problem yet either way bit disappointing,New Siri functionality very disappointing,False,2017-08-18 13:26:14,0.057,0.193,0.751,-0.9097,Negative
180,180,5,OliverMonkey,thirteen currently app truly helped pay get paid allowance chore money fine yes child pay fine said chore paying subscription etc app moderately hard set security reason love send money personalise app change mistake oh could go way recommend getting child debit account great way teach early money management easily pay thing around household brilliant use time thank reading,A child’s critique.,False,2019-10-26 17:30:46,0.379,0.097,0.524,0.9753,Positive
181,181,2,Slightly Narked,current trying time thought could rely app usually today direct call barclays saying could queue hour thought live chat would answer tried 6 7 time day answered someone barclays asked question app decided crash kick chat kicked shutdown every time logged back generated report email stated would informed report received still waiting hear every single one hopefully get sorted point,Usually good but not today.,False,2020-04-17 21:49:15,0.044,0.044,0.912,0.0,Neutral
182,182,5,BerserkaRoo,banking apps barclays one better user friendly one 3 star fact rarely load ipad many issue iphone forget ive number situation ive needed transfer fund daughter whilst shes travelling im ive unable occasion app taken 2 hour accessible phone ive even found quicker walk branch transfer money 3 star bit generous actually,Long wait....,False,2018-04-26 14:32:06,0.189,0.034,0.777,0.8316,Positive
183,183,5,ReggaeRay,app work rather well useful intended one thing would suggest update inline third party banking apps ive personally used dont trust ive seen though app could showing current balance total spend set month whatever interval needed finally regular direct debit would make app much fluid le hassle seeing current balance doesnt give much information,Needs an update to keep up with third party apps.,False,2019-01-22 21:23:15,0.127,0.045,0.828,0.6121,Positive
184,184,1,alexnitica,update ok perfectly understandable made benefit number notification clue make clear dont mind waiting 48 hour making confused especially lot payment difficult time last thing need money missing sure app bank paid cheque ago showed full transaction know take time cheque value 260 balance increased 100 cheque still pending guess didnt transaction thought cashed another cheque yesterday 213 balance increased 100 transaction later see increase confusing idea le pending transaction lot transaction pay card everywhere everything confusing mess ill switch another bank soon something wrong thought im paranoid someone messing money cant justify number app,Barclays is messing with my money,False,2020-11-03 11:08:23,0.21,0.186,0.603,0.4472,Positive
185,185,3,KreamEgg,used able click search icon see total amount transaction bottom page money inout longer give total amount number transaction fact say money 000 money 000 despite hundred transaction please restorefix feature also would sent via suggest improvement feature tap text box type comment continue button disappears way submit,Used to be able to see transaction totals..,True,2020-05-23 14:14:00,0.082,0.083,0.836,-0.016,Neutral
186,186,5,4DNA,love barclays service moved account hsbc 25 year best decision ive ever made instead feeling like hsbcs money instead mine feel human barclays stress disappeared getting frustrated ridiculous security question beyond reasonable staff come across friendly genuine unlike robot hsbc app tech phobic friendly good hate online banking know cant get away service point far complaint thank barclays,Brilliant,False,2018-06-10 08:49:36,0.305,0.214,0.481,0.836,Positive
187,187,4,Cazo21,really like app couple issue 1 home page list account show annoying much main account isnt shown immediately scroll see end world know annoying always used 2 mad reason cant see pending transaction used able tap would show doesnt hoping latest update would sort hasnt one bad one,Love it but….,False,2021-12-15 18:32:41,0.1,0.193,0.707,-0.6473,Negative
188,188,1,musicman 62,hi folk yes mean say help alli recently card temporarily suspended ordering something webmy card suspended security reason anyway went branch cityphoned got someone card asked usual security question still didnt tell concern hadand phone 30 minute didnt believe person phone go back branch passport another piece release cardmeaning cannot get money pay bill app useless cannot find anything use problem,No help at all,False,2021-11-11 14:55:48,0.153,0.156,0.692,-0.2969,Negative
189,189,2,Pmc007,people decide bank go based good app barclays used top guy dropped ball app beautiful feel sluggish slow tap required make payment reviewed many app great feature refinement issue chat function need dumped depending day history might wiped clean make payment lot time balance refresh dont even bother searching transaction accurate recurring payment feature pick one card payment recurring payment nice notification new direct debit set account also nice receive notification day direct debit taken account great able delete payee app believe barclays need build app scratch current cutting edge technology whilst keeping ui even better,Great features hampered by an ageing app,True,2021-10-17 13:49:44,0.25,0.058,0.692,0.9724,Positive
190,190,1,Waqas.S,time reorder account functionality working expected retaining order set multiple account barclays barclay card along open banking account used work fine month back couldnt see way reporting issue hence writing review quite annoying great fix update changed mobile model week back setup app thats tried change order old mobile setup order way back cant remember last worked retained previous order didnt go back change,Reorder Accounts not working,True,2021-08-17 18:26:00,0.104,0.043,0.854,0.5082,Positive
191,191,4,Mr____An_,report issue statement document exporting never imagine printed ton exact statement colour name different recognized late money wasted due however app convenient make transaction view said view document also mobile pinsentry useful much say good bad thing give moderate comment update ver 1 thanks quick response let see attempt improve experience morestatements document download file phone back app download another document find name different expect content exactly downloaded several relaunch app may solve annoying time consuming hope fix,Have some issues but still a good banking app,False,2019-05-23 12:08:54,0.174,0.1,0.726,0.7096,Positive
192,192,1,AwesomeWells,need transfer money one account another need app freeze constantly entering amount well thank lucky star app early version barclays banking app worked fine wasnt enough recent redesign kind people barclays added working really need feature add bit frustration already stressful day like dont enough worry get ready feel familiar hot shame face waiting loading screen populate people behind queue wish would hurry die thanks barclays almost good get rid actual people high street branch upgrade,Oh dear,False,2018-06-16 15:10:07,0.286,0.13,0.584,0.9003,Positive
193,193,5,Nousernoname,used fivestar rating recent update making compulsory uk time iphone app would log ask reregister mobile banking much enjoy looking another device might app installed confirm identity im abroad god forbid left country without pinsentry device feel mildly vexing receive error message one different time zone please fix thanks,There’s room for improvement,False,2019-05-24 14:27:12,0.174,0.132,0.694,0.3612,Positive
194,194,4,N of Devon,every respect one excellent app would award five star however day ago started giving incorrect figure available balance number give number correct historically implying time lag randomly wrong phoned barclays problem persists work correct available balance record transaction complete correct discrepancy occurring worrying,Random numbers for available balance,False,2020-05-10 12:56:25,0.26,0.18,0.56,0.5719,Positive
195,195,5,miss kelly b,recently left barclays bank go lloyd bank worse decision made far transferred lloyd thinking would better find staff rude behind time cant go stuff barclays machine great stuff barclays offer bank 9 yr reopened account barclays happy stuff friendly stevenage helpful always help love barclays bank never leave,Best bank ever,False,2018-12-01 00:51:20,0.365,0.09,0.545,0.9562,Positive
196,196,5,Marszombie!,love barclays online banking app couldnt without however time warning account suddenly displayed different manner caught transferred fund one account another pay bill fund hadnt gone correct account hadnt noticed display moved around different order able changed manually still caused problem please dont let happen,Excellent but don’t shift the accounts display at random!,False,2017-12-15 00:16:46,0.162,0.078,0.76,0.6636,Positive
197,197,4,Lycragirl,whole want bit fussy look liked able photo see reason dropped grouping payment transfer together good there 5 6 little round circle find read description underneath every time want something instead obvious pay transfer dont see would even want see 34 option pay transfer 2 used surely anyhow read description underneath icon want,To Fussy,False,2018-01-01 08:56:52,0.24,0.049,0.712,0.8402,Positive
198,198,5,Addictive @@@@,dont like much great updated show running balance surely fundamental basic need dont like payment future work set pay bill credit card future forget ive actually done cant find way check thats pending actually paid bill twice wasnt sure banking apps use grey payee pending transaction know ive set payment could whole lot better,Not Very User Friendly,False,2017-11-13 17:02:18,0.145,0.192,0.663,-0.2905,Negative
199,199,5,zebrablackzebra,app standalone good soon try use phone online fall chat function intelligent text recognition take age terrible response time even person chat terrible waiting time actual call 45 minute need integrate barclaycard add functionality around card service good basic cant much beyond simple mobile banking,Good app let down by interface to real world,False,2020-10-13 13:34:15,0.16,0.113,0.727,0.3818,Positive
200,200,5,Sullym6,used good since lost money v money harder keep track bank apps idea barclays removed clarify talking used total top showed total money total money 30day period let gauge spending money coming know search transaction doesnt give total dont fancy getting calculator,No money in vs money out,True,2020-08-24 14:10:14,0.104,0.051,0.844,0.34,Positive
201,201,5,Maxflame,say earlier version app year ago lacked functionality key feature would deemed key banking move meant still log account desktop browser well fast forward touchid login complete view barclays account barclaycards etc managed app setup new payee something bank missing move money account list go io evolves barclays app performance stability whilst using app still using iphone 6 io 11 issue performance batterygate hear shout app handle well issue get touch id login identifying print quick enough phone app use app good job barclays,All my accounts - 1 location!,False,2018-01-02 10:02:22,0.08,0.025,0.895,0.5994,Positive
202,202,4,Anna_PA,app useful however annoying update often much time hassle set download new version also still waiting response question feature select add expense item account feature lloyd telling much spend coffee shop example also dont like fact overdrawn one account money another way automatically transfer pound bank,Too many updates and not as flexible as other banks,False,2018-02-05 15:38:45,0.057,0.095,0.848,-0.2287,Negative
203,203,5,Happy snapper Tom the Pom,mainly excellent service cant believe refused sign long instead insisting stomping bank thing writing cheque pay bill wasting money stamp wasted time piece cake paying bill receiving bacs payment app ideal checking payment received account sometimes struggle get keep pressing app sign get eventually may phone useless wifi,Mainly excellent,False,2017-09-28 10:28:20,0.146,0.202,0.652,-0.3425,Negative
204,204,5,Nattysma,hesitant using mobile banking took give go banking line happy using computer glad downloaded though made life much easier ive done transfer abroad took minute like easily keep check thing whoever assuming safe time tell meantime love update march 2018 still loving mobile banking app would list without,So Easy to Use,False,2018-03-14 17:04:23,0.383,0.03,0.587,0.9732,Positive
205,205,5,Igwit,week ive unable access statement app go round circle trying get answer system suggests lack access statement temporary glitch may need upgrade app app store try there option upgrade open wch take back started press statement implies temporary fault like week n week surely someone sort way get statement apparently go branch barclays cannot serious,Maddening,False,2019-03-13 16:02:32,0.109,0.082,0.808,0.1586,Positive
206,206,3,RHT71,fabulous app never problem 2 week ago tried create second account app kept failing stating try later never worked got really annoyed passed pillar post phone live chat told try later end used video banking great however issue app caused partlyopen 15 account affect credit rating keeping eye complaining load new feature make sure work properly issue except,Great but some features fail,False,2019-06-26 10:10:06,0.23,0.11,0.66,0.8301,Positive
207,207,5,Save Your Tech,decent app annoying bug issue ipad remove app altogether reinstall phone sometimes overwriting old apps newer one cause glitch issue asks agree term condition every time login instance app load show input password show nothing way close app altogether dont mean press home button either double click home button app open swipe close also advise close facebook social account cause issue banking apps overall job need sign see transfer money best app barclays pingit app show balance facility send money anyone mobile number,Good app but not without faults,False,2018-11-03 10:01:50,0.089,0.03,0.881,0.6486,Positive
208,208,1,Notsoangry,great app mostly latest update wrecked something previously worked well cluttering transaction view first added date bar disrupts flow entry scroll added small icon entry logo payment major company eg credit card co logo credit card payment letter circle clutter small screen make much harder scan list transaction getting ridiculous barclays dont need superfluous information gimmick stop please return app something thats easy read quickly need information move,Latest updates = cluttered screen,False,2018-11-05 06:22:33,0.204,0.058,0.738,0.8979,Positive
209,209,5,BudgetCutsFTW,good bitthis app well designed work extremely efficiently whilst using phone iv used banking apps way behind one literally anything wish using app need long bank queue etci use app every day take payment make payment transfer cash etcbrilliant well done barclays bad bitthis app terrible ipads slow reload several time work freeze stick using phone,Best banking App there is!!,False,2017-11-23 10:16:35,0.204,0.096,0.7,0.659,Positive
210,210,5,fruad777,app useless trying increase credit limit barclay card app stuck employment page well many dependent chat option also useless one speaks back frustrating solution employ people serve customer phone yesterday call centre hour still help go branch say use app call dont work useless,Useless app,False,2021-06-09 08:05:27,0.202,0.224,0.573,-0.3182,Negative
211,211,5,Danny292,app ok barclays ok call center wast time wait line hour pick phone hang opinion stay way barclays add hear help say need change cant bothered answer phone cant bothered help ive problem internet banking app nearly two week nobody socalled call pick phone,Bad call centre,True,2020-04-02 10:04:46,0.257,0.051,0.693,0.8412,Positive
212,212,4,We147811,1 good see new feature much spend 2 need add change pin facility direct apps 3 apps showing provisional od amount called bank said le show apps technical issue limit showing continues week technically issue later decided apply increase od amount per apps gone successfully mean bank record apps record matching 4 apps called past automatically take cardaccounts number day 1 month called apps say dont find card detail reported bank operator said technical issue resolved soon poor banker operator dont like take customer feedback try escalate issue related department hope written feedback consider seriously thanks,Good but needs to make better,False,2020-01-17 08:47:02,0.164,0.066,0.771,0.8515,Positive
213,213,3,LupieLucy,ive linked bank account via open banking multiple time successful confirmation message yet never show barclays app linking return app every time see message along line nothing see youve linked account yet link bank account see yet bank app show history many time ive successfully allowed barclays access open banking issue account visible must barclays app,Linked bank accounts don’t show,False,2021-12-06 22:40:30,0.115,0.0,0.885,0.7906,Positive
214,214,2,Rkun85,overall app described transfer payment history statement etc etc opinion big still able quickly check account balance without logging app personally think able moist banking apps give option quick balance check got hsbc app possible one millennium bank check account balance without logging simply sliding finger side see hope gay work upgrade app,Barclays App,False,2021-02-18 03:49:07,0.053,0.0,0.947,0.4404,Positive
215,215,3,tomdi1234,since barclaycard credit card ive tried go app pay outstanding balance couple week since got card app time try pay say unable process payment working hard fix ive set direct debit hope work im charged outstanding balance response yes app still let pay bill app latest update second update yes still unable make payment app,Cannot pay off credit card,True,2020-04-16 10:14:46,0.269,0.105,0.626,0.9382,Positive
216,216,4,Z26,work well easy use dont think however kept bank apps ive got account another high street bank notifies money go account upcoming direct debitsstanding order useful last year caught sizeable direct debit council tax went overdrawn couple day could easily transferred money id known advance responsibility advance warning would great help could added next update,Good app,False,2020-02-23 11:14:47,0.253,0.036,0.711,0.9287,Positive
217,217,4,Pippi M,love app keep eye account 247 pay cheque home set direct debit etc without go banki particularly love fact freeze card limit remote payment spending limit cashpoint withdrawal limit impact finance card misused transfer little bit money saving every day feel control money first time many year would recommend anybody want control finance 5,Brilliant,False,2021-09-09 21:30:28,0.237,0.023,0.74,0.9074,Positive
218,218,1,ginna46,anyone please tell delete latest update take 45 minute load every time good soooo frustrating stress without longer make quick transaction normally pay bill second transfer money one account another ease check status account problem anymore nightmare lot time need quick check making purchase shopping send money urgently family happening even pending transaction iffy included balance make mind app good thing barclays going itselfmaybe time change,Need rid........,False,2017-10-28 05:27:14,0.135,0.125,0.74,0.2023,Positive
219,219,2,QuizAddict,basic need check balance make payment set new payee also try many thing overly complicated way end cluttering fairly simple user interface im also forced update app far frequently update arent critical experience far tell fundamental function dont seem change superficiality forced update message appear obviously open app usually need use make payment expect update app every time open quite annoying keep simple barclays,Trying to do too many things,False,2017-08-29 19:05:00,0.028,0.127,0.846,-0.7924,Negative
220,220,5,FannieMcAnnie,still cant access banking app keep telling need download updated version however update new version find download aware issue please something people older phone still use basically recrimination people cant afford upgrade doesnt get sorted end year close bank account,App won’t work,True,2020-12-08 14:42:41,0.056,0.0,0.944,0.3182,Positive
221,221,5,Super Jezmeralda,using barclays app work great tome ive noticed past 23 update im unable see pending transaction whilst using app see everything web page good check web page log app much easier use someone scammed time seeing pending transaction essential please fix minor issue thanks,Pending transactions are missing in the app,False,2019-12-01 09:56:29,0.278,0.0,0.722,0.9325,Positive
222,222,4,Nodplod99,couldnt manage money way app godsend since account hacked 5 year ago still cannot use telephone banking complaint except annoying msg saying must update appand cant try take straight app store icon say app installed frustrating perfectly honest one main reason stay barclays keep looking bank better saving rate cant live without excellent app,Great app- definitely the best.,False,2020-05-08 16:51:49,0.232,0.169,0.599,0.7588,Positive
223,223,4,ThePrincessDi16,ive using app last 5 year never issue lately noticed cant keep track transaction always good able see transaction matter second balance change cant see money came go really perfect feature able scan cheque say account 4 day later money still hasnt cleared hope sort quickly good,Good app but needs improvement,False,2020-01-13 23:22:23,0.203,0.069,0.728,0.8015,Positive
224,224,5,GranddadRex,sadly lack common sense organisation website doesnt need confusing paying cheque pay deposit cheque paying process still much hit miss software doesnt work well take picture outside line software give cut corner good idea execution far better barclays year picture cheque clear acceptable app,Confusing,False,2019-07-04 16:22:11,0.216,0.209,0.575,0.3296,Positive
225,225,3,Not to be named.,ive barclays year never problem reason two three day home page saying small amount money account ive spent money day number stayed page show transaction stayed money however yesterday pay 50 account amount stayed transaction page said fact gone idea could think started around time new app update thanks,Amount erroe,False,2019-06-02 10:46:12,0.122,0.026,0.851,0.6197,Positive
226,226,3,l l RMS l l,perfect personal banking app superb love easily access business account started using app invoice client invoicing feature extremely buggy one item invoice option move item reorder would useful go edit delete item one invoice app responds error mbe09 problem processing request please try later mean make one single mistake invoice start entirely new invoice scratch old invoice end draft draft section option delete unused invoice keep building much appreciate addition invoicing feature certainly need lot work become even useable many thanks,Business Invoicing not working,False,2021-10-23 09:19:57,0.264,0.075,0.661,0.9628,Positive
227,227,4,F074875,great app really easy use except option pay cheque via app many attempt latest iphone brightest room house full sunshine still say image dark refused accept ive paid one problem must made extra finicky much unusable ill make special trip town pay cheque use awful multi function cash machine slowest bank building society ive used,Great app but paying in cheque function needs work,False,2020-01-04 12:58:34,0.259,0.177,0.564,0.8516,Positive
228,228,1,Podge 17,trying use switching service change different current account provider barclays keep rejecting application spoken number different advisor 2 chat service 2 telephone banking hour conversation confirmation everything sorted still isnt customer service provided putting hundred thousand pound bank paying package account costing thousand year absolutely appalling cant wait money awful bank somebody might pay little bit respect customer,Terrible Customer Service,False,2019-12-02 09:08:32,0.103,0.113,0.784,-0.1509,Negative
229,229,5,mohzaman,please change colour app back normal rubbing face pride didnt ask wether ok device havent done something vaisakhi eid diwali christmas feel like need rub pride colour people face stated nothing pride stand everyone entitled belief respect feel trying force way life onto everyone please sit back think,Normal Colours,False,2019-06-28 06:34:07,0.323,0.031,0.646,0.9394,Positive
230,230,4,Californiabirdie,would given 5 star recently found holding pending transaction card check much longer need told tesco took said held long time could drop sooner today saturday 24th february 200 card check monday 19th february approached earlier two pending card check 2 tesco causing situation please corrected kind regard caroline goodman,Disappointed,False,2018-02-24 21:42:31,0.108,0.04,0.852,0.5574,Positive
231,231,1,Lerakant,rather scanning glancing list previous transaction app barclays insisted inserting helpful subtotal many although different colour rest text nevertheless mean easy mentally arithmetic adding thing scroll page taken ability manage finance 9 10 two 10 enough reason consider moving bank altogether may right time given feedback removed next update certainly look moving back would shame 30 year,How to go from four stars to one Star in one bound,False,2017-10-25 13:57:41,0.161,0.048,0.791,0.743,Positive
232,232,1,ghgfrt* cyun ftun fun,today received notification ipad account overdrawn annoyingly message appeared exact detail opened ipad cover even unlocking ipad mean information extremely private could seen absolutely anybody opening ipad dont get started chat facility wasted hour today talking robot kept asking opening new account phone help end call got cut able get issue resolved tempted delete app breach privacy really annoyed,"Easy to use for transferring money and accessing your account, but....",False,2021-11-04 23:02:19,0.066,0.123,0.811,-0.5849,Negative
233,233,3,Dark lord 18,overall quite good way banking couple annoying fault annoying thing pay number people keep reselecting account rather choosing account paying multiple time selected account really annoying thing screen popping want pay someone understand fraud problem select pay someone dont want constantly challenged,Could be better,False,2021-05-08 14:27:39,0.145,0.371,0.484,-0.9203,Negative
234,234,5,madcowfilms,ive using app quite compared banking app clunky take far long load login also business account support touch login current account need updating streamlining think would much better update touch supported great next would even better could set reminder acct go set amount great app use every day,Could do better.,False,2017-09-26 13:58:40,0.311,0.0,0.689,0.9584,Positive
235,235,3,Blazerfrazer,irritating leave phone find wallet get card come back timed enter passcode app make start second issue fault selecting expiry date card make select year first month try select month first asks wont allow return previous number year go back month small insignificant fault hundred thousand people tutting using app,Irritating problems,False,2018-04-04 14:12:34,0.022,0.236,0.742,-0.8851,Negative
236,236,5,Birmingham 2019,lot issue getting appointment local branch told app one call centre operator told could set new current account video call meant could easily time convenient call took half hour complete account set signal great lorna operator fantastic would definitely recommend way setting new account far easier visiting branch,Saved me a lot of time,False,2019-03-13 23:49:13,0.301,0.0,0.699,0.9524,Positive
237,237,1,julian___8,literally first review ive ever left hate app much feel compelled work pretty bad already rarely work supposed took several hour let create account forced update letting account update wouldnt download brand fairly new iphone delete reinstall get update tried log back recognising account number call support 3rd time literally closing barclays account much hate app people stop bank dinosaur beyond online banking situation somehow even worse,Absolut garbage,False,2020-10-23 09:33:05,0.123,0.224,0.653,-0.8934,Negative
238,238,5,3Ztar,happy first time install app ipad problem phone stop trying app needed update could install could use gat new ipad month later work new ipad assume probably need get new device order follow new update try many time make update work could end without access account,Updates are a bit of a problem,False,2019-02-08 16:45:46,0.072,0.095,0.833,-0.0516,Negative
239,239,1,古月心有,app used good save time transfer easy use update big problem update cannot log account reason every time try open app show sorry request cannot processed time please try connect twice asking personal information tell go branch id barclay card however arrived branch want reset account way solve reset account twice problem doesnt resolved yet app given 0 star,The newest update has bug and mobile banking cannot be log in,False,2018-05-19 20:45:52,0.172,0.145,0.683,0.4442,Positive
240,240,5,WindsorTony,app open pretty good opening bit thats problem take long connect stare age blank screen say barclays time go blank opening request appear wait usually number box appears instruction enter pin start enter instruction repeated bad sharpen connection openingaccess process,Latest Version,False,2017-12-13 10:27:45,0.152,0.128,0.72,0.0516,Positive
241,241,5,Floydy88,sure like new colour probably cause barclays always blue high street branch guess cant get used previously linked nationwide account unlinked barclays app get hacked account compromised also whats advantage linking nationwide app offer better service barclays anyway im grateful banking apps wish barclays could offer better option reducing overdraft stage help reduce cost banking apps,General,False,2019-07-19 22:05:13,0.297,0.038,0.665,0.946,Positive
242,242,4,Nick10101ppp,whole app good far quicker use website however problem trying pay someone new firstly amount pop field doesnt properly display cell figure enter secondly verification entering debit card detail cant change expiry date spinning wheel month reverts back december use website new balance transfer 2018 ipad pro io 1313 new issue version,How to report issues?,False,2019-12-02 16:47:19,0.052,0.073,0.875,-0.0516,Negative
243,243,5,bugchick,wanted thank barclays much changing rainbow logo good see godloving company world heathen reminding u covenant god man never destroy earth flood global warming rising water level damned lgbtq people flood something need worry right one glad reminder every time open barclays app pay subscription fee warm fuzzy nzis godfearing fundus babe fear destruction fire sleep much sounder blessing barclays,Rainbow Logo,False,2019-06-29 15:22:18,0.247,0.199,0.554,0.431,Positive
244,244,5,Witchfinder1612,dubious start withbut found easy use intuitive one problem paying cheque couple month ago contacted app got rapid response telling try couple thing work continued follow day later message say found fault corrected paying process worked smoothly happy app,Great app,False,2020-11-20 07:54:14,0.136,0.163,0.701,-0.0772,Negative
